Profession,Year,No. of Emigrants
Plumber,1991,2383
Plumber,1992,3196
Plumber,1993,2579
Plumber,1994,1851
Plumber,1995,1953
Plumber,1996,1996
Plumber,1997,2487
Plumber,1998,1681
Plumber,1999,1302
Plumber,2000,1798
Plumber,2001,2135
Plumber,2002,2460
Plumber,2003,3572
Plumber,2004,2901
Plumber,2005,2371
Plumber,2006,3057
Plumber,2007,4789
Plumber,2008,7181
Plumber,2009,6734
Plumber,2010,6056
Plumber,2011,9023
Plumber,2012,14109
Plumber,2013,17279
Plumber,2014,16827
Plumber,2015,21889
Plumber,2016,20126
Plumber,2017,10440
Plumber,2018,6352
Plumber,2019,7125
Plumber,2020,1025
Plumber,2021,1552
Plumber,2022,5797
Plumber,2023,1286
Rigger,1981,137
Rigger,1982,123
Rigger,1983,107
Rigger,1984,84
Rigger,1985,74
Rigger,1986,52
Rigger,1987,59
Rigger,1988,73
Rigger,1989,86
Rigger,1990,102
Rigger,1991,128
Rigger,1992,171
Rigger,1993,138
Rigger,1994,99
Rigger,1995,105
Rigger,1996,107
Rigger,1997,133
Rigger,1998,90
Rigger,1999,69
Rigger,2000,96
Rigger,2001,114
Rigger,2002,132
Rigger,2003,191
Rigger,2004,155
Rigger,2005,126
Rigger,2006,164
Rigger,2007,257
Rigger,2008,383
Rigger,2009,361
Rigger,2010,324
Rigger,2011,890
Rigger,2012,1469
Rigger,2013,770
Rigger,2014,1343
Rigger,2015,2099
Rigger,2016,2303
Rigger,2017,1511
Rigger,2018,1046
Rigger,2019,1990
Rigger,2020,705
Rigger,2021,926
Rigger,2022,741
Rigger,2023,237
Salesman,1981,2142
Salesman,1982,1925
Salesman,1983,1680
Salesman,1984,1309
Salesman,1985,1152
Salesman,1986,812
Salesman,1987,926
Salesman,1988,1141
Salesman,1989,1341
Salesman,1990,1592
Salesman,1991,1999
Salesman,1992,2680
Salesman,1993,2162
Salesman,1994,1552
Salesman,1995,1638
Salesman,1996,1674
Salesman,1997,2085
Salesman,1998,1409
Salesman,1999,1093
Salesman,2000,1508
Salesman,2001,1790
Salesman,2002,2063
Salesman,2003,2995
Salesman,2004,2433
Salesman,2005,1989
Salesman,2006,2564
Salesman,2007,4017
Salesman,2008,6022
Salesman,2009,5648
Salesman,2010,5078
Salesman,2011,7461
Salesman,2012,7496
Salesman,2013,12824
Salesman,2014,16017
Salesman,2015,18241
Salesman,2016,15524
Salesman,2017,12938
Salesman,2018,8225
Salesman,2019,9433
Salesman,2020,2620
Salesman,2021,3550
Salesman,2022,12944
Salesman,2023,5631
Secr/Stenographer,1981,88
Secr/Stenographer,1982,79
Secr/Stenographer,1983,69
Secr/Stenographer,1984,54
Secr/Stenographer,1985,48
Secr/Stenographer,1986,33
Secr/Stenographer,1987,38
Secr/Stenographer,1988,47
Secr/Stenographer,1989,55
Secr/Stenographer,1990,66
Secr/Stenographer,1991,82
Secr/Stenographer,1992,111
Secr/Stenographer,1993,90
Secr/Stenographer,1994,65
Secr/Stenographer,1995,68
Secr/Stenographer,1996,69
Secr/Stenographer,1997,86
Secr/Stenographer,1998,58
Secr/Stenographer,1999,45
Secr/Stenographer,2000,62
Secr/Stenographer,2001,74
Secr/Stenographer,2002,85
Secr/Stenographer,2003,124
Secr/Stenographer,2004,100
Secr/Stenographer,2005,82
Secr/Stenographer,2006,106
Secr/Stenographer,2007,166
Secr/Stenographer,2008,248
Secr/Stenographer,2009,233
Secr/Stenographer,2010,210
Secr/Stenographer,2011,109
Secr/Stenographer,2012,214
Secr/Stenographer,2013,405
Secr/Stenographer,2014,926
Secr/Stenographer,2015,821
Secr/Stenographer,2016,276
Secr/Stenographer,2017,1345
Secr/Stenographer,2018,1093
Secr/Stenographer,2019,146
Secr/Stenographer,2020,0
Secr/Stenographer,2021,0
Secr/Stenographer,2022,0
Secr/Stenographer,2023,0
Steel Fixer,1981,5186
Steel Fixer,1982,4659
Steel Fixer,1983,4066
Steel Fixer,1984,3169
Steel Fixer,1985,2789
Steel Fixer,1986,1965
Steel Fixer,1987,2242
Steel Fixer,1988,2762
Steel Fixer,1989,3247
Steel Fixer,1990,3854
Steel Fixer,1991,4838
Steel Fixer,1992,6487
Steel Fixer,1993,5236
Steel Fixer,1994,3758
Steel Fixer,1995,3965
Steel Fixer,1996,4052
Steel Fixer,1997,5048
Steel Fixer,1998,3411
Steel Fixer,1999,2645
Steel Fixer,2000,3649
Steel Fixer,2001,4333
Steel Fixer,2002,4994
Steel Fixer,2003,7250
Steel Fixer,2004,5888
Steel Fixer,2005,4815
Steel Fixer,2006,6205
Steel Fixer,2007,9723
Steel Fixer,2008,14577
Steel Fixer,2009,13669
Steel Fixer,2010,12293
Steel Fixer,2011,17226
Steel Fixer,2012,24978
Steel Fixer,2013,24000
Steel Fixer,2014,26422
Steel Fixer,2015,27609
Steel Fixer,2016,22743
Steel Fixer,2017,11490
Steel Fixer,2018,7069
Steel Fixer,2019,9291
Steel Fixer,2020,1269
Steel Fixer,2021,1225
Steel Fixer,2022,6271
Steel Fixer,2023,1431
Storekper,1981,279
Storekper,1982,250
Storekper,1983,219
Storekper,1984,170
Storekper,1985,150
Storekper,1986,106
Storekper,1987,121
Storekper,1988,149
Storekper,1989,175
Storekper,1990,207
Storekper,1991,260
Storekper,1992,349
Storekper,1993,280
Storekper,1994,202
Storekper,1995,213
Storekper,1996,218
Storekper,1997,271
Storekper,1998,183
Storekper,1999,142
Storekper,2000,196
Storekper,2001,233
Storekper,2002,268
Storekper,2003,390
Storekper,2004,317
Storekper,2005,259
Storekper,2006,334
Storekper,2007,523
Storekper,2008,784
Storekper,2009,735
Storekper,2010,661
Storekper,2011,1056
Storekper,2012,1965
Storekper,2013,1740
Storekper,2014,1719
Storekper,2015,2316
Storekper,2016,3324
Storekper,2017,4311
Storekper,2018,2759
Storekper,2019,884
Storekper,2020,117
Storekper,2021,146
Storekper,2022,467
Storekper,2023,173
Surveyor,1981,274
Surveyor,1982,246
Surveyor,1983,215
Surveyor,1984,168
Surveyor,1985,147
Surveyor,1986,104
Surveyor,1987,119
Surveyor,1988,146
Surveyor,1989,172
Surveyor,1990,204
Surveyor,1991,256
Surveyor,1992,343
Surveyor,1993,277
Surveyor,1994,199
Surveyor,1995,210
Surveyor,1996,214
Surveyor,1997,267
Surveyor,1998,180
Surveyor,1999,140
Surveyor,2000,193
Surveyor,2001,229
Surveyor,2002,264
Surveyor,2003,383
Surveyor,2004,311
Surveyor,2005,255
Surveyor,2006,328
Surveyor,2007,514
Surveyor,2008,770
Surveyor,2009,723
Surveyor,2010,650
Surveyor,2011,811
Surveyor,2012,1972
Surveyor,2013,2063
Surveyor,2014,2512
Surveyor,2015,5595
Surveyor,2016,7472
Surveyor,2017,2114
Surveyor,2018,1526
Surveyor,2019,560
Surveyor,2020,158
Surveyor,2021,352
Surveyor,2022,923
Surveyor,2023,89
Tailor,1981,5291
Tailor,1982,4754
Tailor,1983,4149
Tailor,1984,3233
Tailor,1985,2846
Tailor,1986,2005
Tailor,1987,2288
Tailor,1988,2818
Tailor,1989,3313
Tailor,1990,3933
Tailor,1991,4936
Tailor,1992,6619
Tailor,1993,5340
Tailor,1994,3834
Tailor,1995,4044
Tailor,1996,4134
Tailor,1997,5150
Tailor,1998,3481
Tailor,1999,2699
Tailor,2000,3724
Tailor,2001,4422
Tailor,2002,5095
Tailor,2003,7398
Tailor,2004,6008
Tailor,2005,4913
Tailor,2006,6332
Tailor,2007,9921
Tailor,2008,14872
Tailor,2009,13947
Tailor,2010,12543
Tailor,2011,4567
Tailor,2012,5919
Tailor,2013,5342
Tailor,2014,5635
Tailor,2015,7958
Tailor,2016,9286
Tailor,2017,5024
Tailor,2018,3111
Tailor,2019,1971
Tailor,2020,653
Tailor,2021,895
Tailor,2022,2505
Tailor,2023,981
Teacher,1981,235
Teacher,1982,211
Teacher,1983,184
Teacher,1984,143
Teacher,1985,126
Teacher,1986,89
Teacher,1987,101
Teacher,1988,125
Teacher,1989,147
Teacher,1990,174
Teacher,1991,219
Teacher,1992,294
Teacher,1993,238
Teacher,1994,171
Teacher,1995,179
Teacher,1996,183
Teacher,1997,228
Teacher,1998,154
Teacher,1999,120
Teacher,2000,165
Teacher,2001,196
Teacher,2002,226
Teacher,2003,328
Teacher,2004,266
Teacher,2005,218
Teacher,2006,281
Teacher,2007,440
Teacher,2008,660
Teacher,2009,619
Teacher,2010,556
Teacher,2011,615
Teacher,2012,956
Teacher,2013,868
Teacher,2014,975
Teacher,2015,1171
Teacher,2016,1203
Teacher,2017,1854
Teacher,2018,2211
Teacher,2019,909
Teacher,2020,281
Teacher,2021,492
Teacher,2022,1004
Teacher,2023,330
Technician,1981,6183
Technician,1982,5555
Technician,1983,4848
Technician,1984,3778
Technician,1985,3326
Technician,1986,2343
Technician,1987,2673
Technician,1988,3294
Technician,1989,3872
Technician,1990,4596
Technician,1991,5769
Technician,1992,7735
Technician,1993,6241
Technician,1994,4480
Technician,1995,4728
Technician,1996,4832
Technician,1997,6019
Technician,1998,4068
Technician,1999,3154
Technician,2000,4351
Technician,2001,5167
Technician,2002,5955
Technician,2003,8645
Technician,2004,7021
Technician,2005,5741
Technician,2006,7399
Technician,2007,11594
Technician,2008,17381
Technician,2009,16299
Technician,2010,14658
Technician,2011,18100
Technician,2012,28066
Technician,2013,32070
Technician,2014,34806
Technician,2015,42328
Technician,2016,35092
Technician,2017,18266
Technician,2018,11368
Technician,2019,16895
Technician,2020,5774
Technician,2021,11875
Technician,2022,23347
Technician,2023,6366
Waiter/Bearer,1981,801
Waiter/Bearer,1982,720
Waiter/Bearer,1983,628
Waiter/Bearer,1984,490
Waiter/Bearer,1985,431
Waiter/Bearer,1986,304
Waiter/Bearer,1987,346
Waiter/Bearer,1988,427
Waiter/Bearer,1989,502
Waiter/Bearer,1990,596
Waiter/Bearer,1991,748
Waiter/Bearer,1992,1002
Waiter/Bearer,1993,809
Waiter/Bearer,1994,580
Waiter/Bearer,1995,613
Waiter/Bearer,1996,626
Waiter/Bearer,1997,780
Waiter/Bearer,1998,527
Waiter/Bearer,1999,409
Waiter/Bearer,2000,564
Waiter/Bearer,2001,670
Waiter/Bearer,2002,772
Waiter/Bearer,2003,1120
Waiter/Bearer,2004,910
Waiter/Bearer,2005,744
Waiter/Bearer,2006,959
Waiter/Bearer,2007,1503
Waiter/Bearer,2008,2253
Waiter/Bearer,2009,2112
Waiter/Bearer,2010,1900
Waiter/Bearer,2011,2146
Waiter/Bearer,2012,4335
Waiter/Bearer,2013,4612
Waiter/Bearer,2014,5347
Waiter/Bearer,2015,9579
Waiter/Bearer,2016,10648
Waiter/Bearer,2017,6062
Waiter/Bearer,2018,3741
Waiter/Bearer,2019,2882
Waiter/Bearer,2020,851
Waiter/Bearer,2021,1384
Waiter/Bearer,2022,2600
Waiter/Bearer,2023,1010
Welder,1981,1842
Welder,1982,1655
Welder,1983,1444
Welder,1984,1125
Welder,1985,991
Welder,1986,698
Welder,1987,796
Welder,1988,981
Welder,1989,1153
Welder,1990,1369
Welder,1991,1718
Welder,1992,2304
Welder,1993,1859
Welder,1994,1335
Welder,1995,1409
Welder,1996,1440
Welder,1997,1794
Welder,1998,1212
Welder,1999,940
Welder,2000,1296
Welder,2001,1539
Welder,2002,1774
Welder,2003,2575
Welder,2004,2091
Welder,2005,1710
Welder,2006,2204
Welder,2007,3453
Welder,2008,5177
Welder,2009,4855
Welder,2010,4366
Welder,2011,6361
Welder,2012,9891
Welder,2013,13135
Welder,2014,13604
Welder,2015,17745
Welder,2016,15113
Welder,2017,9803
Welder,2018,6374
Welder,2019,5634
Welder,2020,1250
Welder,2021,2909
Welder,2022,3782
Welder,2023,996
